zscore,scaling_method,imputation_strategy,model,accuracy,precision,recall,f1
mean,random_forest,0.9491666666666667,0.2344740177439797,0.9685863874345548,0.3775510204081632,,
mean,logistic_regression,0.9104166666666667,0.1102292768959435,0.6544502617801047,0.1886792452830188,,
median,random_forest,0.9419166666666666,0.2016129032258064,0.9776536312849162,0.3342884431709646,,
median,logistic_regression,0.9001666666666667,0.0959555908009516,0.6759776536312849,0.1680555555555555,,
most_frequent,random_forest,0.9465833333333333,0.2491103202846975,0.963302752293578,0.3958529688972667,,
most_frequent,logistic_regression,0.8775833333333334,0.0914435009797517,0.6422018348623854,0.1600914808461978,,
zero,random_forest,0.9430833333333334,0.208235294117647,0.946524064171123,0.3413693346190935,,
zero,logistic_regression,0.7908333333333334,0.0454011741682974,0.6203208556149733,0.0846097738876732,,
random,random_forest,0.9408333333333333,0.1912943871706758,0.9766081871345028,0.3199233716475095,,
random,logistic_regression,0.8951666666666667,0.0841622035195103,0.6432748538011696,0.148849797023004,,
mean,minmax,random_forest,0.94625,0.211706102117061,0.934065934065934,0.3451776649746193,
mean,minmax,logistic_regression,0.9905833333333334,0.6650717703349283,0.7637362637362637,0.710997442455243,
median,minmax,random_forest,0.951,0.2558139534883721,0.9428571428571428,0.4024390243902439,
median,minmax,logistic_regression,0.99,0.6956521739130435,0.7619047619047619,0.7272727272727272,
most_frequent,minmax,random_forest,0.9483333333333334,0.2222222222222222,0.9405405405405406,0.3595041322314049,
most_frequent,minmax,logistic_regression,0.9898333333333332,0.6425339366515838,0.7675675675675676,0.6995073891625616,
zero,minmax,random_forest,0.947,0.2431137724550898,0.9806763285024156,0.3896353166986564,
zero,minmax,logistic_regression,0.98925,0.6681034482758621,0.748792270531401,0.7061503416856493,
random,minmax,random_forest,0.9391666666666668,0.2117263843648208,0.9798994974874372,0.3482142857142857,
random,minmax,logistic_regression,0.9895833333333334,0.6594827586206896,0.7688442211055276,0.7099767981438515,
